feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
career_seasons,284,0.04732042250383351,0.010367128523464516,0.10869968119408864,-0.2175325780287484,-0.21009740902175217,0.000220675939170818,-,26
best_sp_plus,284,0.047198493495914214,0.008591862472010365,0.10854691404711948,0.2172521426727806,0.21150820726125094,0.00022495126714232216,+,27
career_yardage,284,0.04710076958132857,0.013651722669597839,0.09987212273193416,0.21702711715665526,0.24106404623773486,0.0002284376452623535,+,28
career_rec_tds,284,0.045107435786110914,0.013191540920056154,0.09479056324316104,0.2123851119690618,0.2563005011399847,0.0003126329203855278,+,29
college_fantasy_ppg,284,0.04314556786535443,0.010929966002804062,0.0993481982120063,0.20771511227003786,0.22001614246083412,0.0004258126367364076,+,30
career_rec_yards,284,0.04241350863425487,0.009743285823922029,0.09448435062448214,0.20594540207116757,0.2333311736923745,0.0004778717963018938,+,31
best_dominator,284,0.041570294561887475,0.007383191561840791,0.09866865049481131,0.2038879460926699,0.22411618533292274,0.0005457941832723858,+,32
dominator_sq,284,0.040547154331509044,0.007991783337678074,0.10024315064691383,0.20136323977208215,0.22411618533292274,0.0006413463012533311,+,33
best_reception_share,284,0.03975783525650482,0.00818594208117428,0.09587148184957316,0.1993936690482043,0.21273941395237211,0.0007263903432842105,+,34
best_receptions,282,0.03770716613322149,0.008021120135256174,0.08784619024947843,0.19418333124452647,0.19463560849325098,0.0010467037105872006,+,35
best_games,284,0.03745340657960681,0.006455122947179197,0.08793633568029423,0.19352882622391634,0.18505535215022884,0.0010452063557789821,+,36
best_ppa_pass,206,0.030342076969483864,0.0014277969132053855,0.0996563693804275,0.1741897728613361,0.12217993639302561,0.012277935854800609,+,37
log_rec_rate,284,0.029430633092766802,0.011195580320242362,0.09512544057469052,0.17155358665083864,0.2764722988479512,0.003733408627364194,+,38
best_ppa_overall,206,0.026841993872811363,0.0016837566581153203,0.08052506257885,0.1638352644359918,0.1073058069447554,0.01861802357874108,+,39
career_receptions,284,0.025861444796002737,0.003808723878589819,0.06774104187457845,0.16081493959207502,0.19064839532552505,0.006610635838161329,+,40
log_dominator,284,0.025179133423799113,0.0051021449517615,0.06445611163977091,0.15867934151552027,0.22411618533292274,0.007377310932853483,+,41
teammate_score,284,0.022251474346264462,0.0004589189098853803,0.07386781034629801,0.1491692808398045,0.10456582490911619,0.01184073698611752,+,42
age_x_dominator,284,0.01874079983953623,0.0009529714986235499,0.06564566165188178,0.13689704101819086,0.16306922970331764,0.02101414606750187,+,43
speed_score,218,0.01685804398978322,0.00045266103207977556,0.06178882630996682,0.12983853045141577,0.09812529303773679,0.05560330841203345,+,44
best_usage_pass,206,0.01566378915429296,0.0001487142278718284,0.06493845158039317,0.1251550604422089,0.14659935168759095,0.0730630203890061,+,45
weight_x_speed,218,0.014597343519265624,7.41349656681117e-05,0.05778032628398728,0.12081946664037888,0.08423088258493862,0.07505157253767604,+,46
vertical_jump,203,0.01457433854365929,0.00010796474994223934,0.056148888198108336,0.12072422517315773,0.13570713256632413,0.0862142993218105,+,47
recruit_stars,18,0.011626769725336699,0.00015574054716248673,0.28919058199833997,0.10782749985665391,0.10404694256399843,0.6701980352568135,+,48
best_usage,206,0.009284706097901541,3.8858000629330206e-05,0.05397191094094791,0.09635717979425062,0.12322052759191522,0.16827173508559612,+,49
best_rush_tds,284,0.008246741195416027,0.00010572515022148637,0.03626277893435952,0.09081156972223323,0.11336623169264952,0.1268131037084161,+,50
three_cone,142,0.006512368448489507,3.440550674609882e-05,0.0655527838049026,0.08069924688923377,0.10888814922387254,0.3397288971124844,+,51
forty_time,218,0.00614032376155555,4.545802056848375e-05,0.03982296436095703,-0.07836021797797368,-0.07853066767795708,0.24928180529611754,-,52
career_rush_tds,284,0.0028892585757885805,1.332203877598503e-05,0.022616348837272773,0.05375182392987777,0.07169729303252416,0.3667916462562428,+,53
career_rush_attempts,284,0.002649631968784029,1.0589352224263388e-05,0.03258019821323578,0.05147457594564553,0.08719164229824014,0.3874713202620487,+,54
career_rush_yards,284,0.00253719114880552,2.0774883024326468e-06,0.024053589824510033,0.0503705385002535,0.11258462755863494,0.39774658069116064,+,55
best_ypr,282,0.0020294713862593875,8.002168011048605e-06,0.025089481264740403,0.04504965467414137,0.03792125128938841,0.451128601905023,+,56
weight_lbs,241,0.0018913693951338648,7.394893169937684e-06,0.02365987800122507,0.04348987692709494,0.0136356547973786,0.5016140740228596,+,57
best_usage_rush,206,0.0017600795730154785,7.996763114448417e-06,0.03645344530164009,0.041953302289754,0.053191655296735536,0.5493443870347685,+,58
broad_jump,200,0.0016945893708964278,7.034260858924507e-06,0.02903490654289502,0.041165390449945057,0.06205650484134817,0.5627491709791825,+,59
height_inches,241,0.0012513876082031366,3.5956283780049147e-06,0.027088680251327688,0.03537495735973595,0.01718328889956624,0.5847340363836488,+,60
bench_press,167,0.0007860668278391812,4.490240809535621e-06,0.03527980015700532,0.028036883347461808,0.05238526488846849,0.719097093520556,+,61
shuttle,143,0.0005672653295855252,1.1802951373712532e-05,0.04645439189711996,0.023817332545554407,0.06956688443113664,0.7776719066697045,+,62
best_ppa_rush,146,0.000256915506241462,1.9594697858737888e-05,0.03159594542197532,-0.016028584037321013,0.008138672521404133,0.8477251970639182,-,63
best_rush_ypc,186,0.00018823336977470676,4.782517716546632e-06,0.028544059147127446,0.013719816681527008,0.045052754015849336,0.8525539924347282,+,64
best_yards_per_touch,186,0.00017683264609754518,6.7723811146287835e-06,0.02960713398296552,0.013297843663449544,-0.0675017107718686,0.8570396928762604,+,65
best_catch_rate,0,,,,,,,?,66
best_td_rate,0,,,,,,,?,67
best_ypt,0,,,,,,,?,68
best_targets,0,,,,,,,?,69
career_targets,284,,,,,,,-,70
career_rec_per_target,0,,,,,,,?,71
ypr,0,,,,,,,?,72
