feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
age_x_dominator,126,0.061304896014137175,0.00337541820963481,0.16400364617897503,0.24759825527280513,0.24987240746237946,0.005186014515441642,+,37
best_usage_rush,92,0.05970096647564597,0.012248133767554554,0.1360297571088748,0.24433781221015705,0.27344547024623284,0.018912099335199717,+,38
best_reception_share,126,0.05622335535559988,0.0017124660297683947,0.16489077646890712,0.23711464601664714,0.24930834091402973,0.007510549554242966,+,39
best_receptions,126,0.05064623132552855,0.0016854618894829182,0.15266783427016462,0.2250471757777212,0.24052365889876312,0.011291044726034155,+,40
weight_x_speed,95,0.049004866897747495,0.0010042742155588372,0.15848053592878478,0.22137042914027044,0.22148811977006855,0.03109049318010879,+,41
career_rec_tds,126,0.04756302233690784,0.002921067835571142,0.14556512957295042,0.21808948240781315,0.26469710402827995,0.014156925284250632,+,42
log_rec_rate,126,0.04747760786146788,0.003198404438694025,0.178425922608601,0.21789357003240797,0.29933333131458845,0.014246057953884398,+,43
vertical_jump,82,0.04570757128183585,0.000610174738653113,0.1669083236704413,0.21379329101222014,0.21145142867819502,0.05377782514729933,+,44
career_total_tds,126,0.04356361285508391,0.0017217164029597865,0.13259588762770522,0.20871898058174754,0.2640958018665218,0.019006243258049244,+,45
log_dominator,126,0.040553553002032,0.0010392835756866056,0.14417038909941415,0.20137912752326642,0.26264408538231054,0.02374910590382517,+,46
dominator_x_breakout,37,0.03663443130009957,0.0003503475899682391,0.17251625455890984,0.19140123118752286,0.22925897681662463,0.2564513079763602,+,47
breakout_age,37,0.03644503143481089,8.603870907051299e-05,0.21084119899048667,-0.19090581823195146,-0.17993819498578903,0.25770762170871836,-,48
best_rec_tds,126,0.03301210815619755,0.0003900387646357448,0.13253109090132945,0.18169234479250235,0.22181515564703372,0.041735707700890384,+,49
best_ypr,126,0.024351500566975683,0.0001286653229188539,0.10185261557418589,0.15604967339592762,0.16243779936706287,0.08100189852058169,+,50
best_games,126,0.020767657648731654,4.603552261953178e-05,0.09669750821502852,0.1441098804687994,0.1526736575551598,0.10741464559677683,+,51
early_declare,126,0.015506096688282085,6.526324496876213e-05,0.09570602192879725,0.12452347846202372,0.1320240542479949,0.16475501711133214,+,52
best_age,126,0.014945206426897622,4.37598010195918e-05,0.09600380427231182,-0.12225058865665074,-0.1806064884457139,0.17266068789121808,-,53
best_rush_tds,126,0.014750698036545768,1.61140220783385e-05,0.11199609729711665,0.12145245175189247,0.09474464715977363,0.17550225082193951,+,54
age_sq,126,0.014174979794984267,5.306841317323793e-05,0.07806394494220079,-0.11905872414478608,-0.1806064884457139,0.18423099170028673,-,55
best_ppa_overall,92,0.013057519335838976,1.4071977123999119e-05,0.09083790955911775,0.11426950308738976,0.1420542917641463,0.27809614432445334,+,56
career_seasons,126,0.011039118148464823,2.6695089818872078e-05,0.08569853028054095,-0.1050672077694312,-0.11567441211505777,0.2416524548714057,-,57
best_ppa_pass,92,0.008610248372831917,3.2126373588420525e-05,0.07372376616273536,0.09279142402631785,0.13622060085898602,0.37899194497282596,+,58
bench_press,82,0.00734621409811494,1.0408424408752672e-05,0.06111351490479259,-0.08571005832523357,-0.0548952347168024,0.4438948064661929,-,59
teammate_score,126,0.005755779191645008,1.4694326275048998e-05,0.057213805443147116,0.07586685173147102,0.05917662966767286,0.39848290556185423,+,60
best_sp_plus,126,0.0029269493031815015,2.366612105009123e-05,0.03834103173276702,0.05410128744476883,0.02733199316404012,0.5473911545063365,+,61
height_inches,106,0.0009041539674606953,1.2484843109194506e-05,0.050673223788131674,-0.030069153088517396,0.017078785752361547,0.7596203307601259,-,62
career_rush_yards,126,0.0002703804150859265,2.235909684020957e-06,0.010196920668427211,-0.016443248313089676,0.03653274502632984,0.8549958767699324,-,63
career_rush_attempts,126,0.00010995601291370747,1.276552204993132e-06,0.011077607014831257,-0.010485991269961437,0.1044866371212611,0.9072284817406753,-,64
career_rush_tds,126,3.6260836162806853e-06,1.1841345126568817e-06,0.04588898297981494,-0.0019042278267793183,0.1252463401729242,0.9831165106840196,-,65
best_catch_rate,0,,,,,,,?,66
best_td_rate,0,,,,,,,?,67
best_ypt,0,,,,,,,?,68
best_targets,0,,,,,,,?,69
career_targets,126,,,,,,,-,70
career_rec_per_target,0,,,,,,,?,71
ypr,0,,,,,,,?,72
