feature,n_obs,r2,r2_ci_lo,r2_ci_hi,pearson_r,spearman_rho,p_value,direction,rank
yprr_x_sos,77,0.1254288257210657,0.02899155831399027,0.2705646366274997,0.35415932251045673,0.3220285897575952,0.0015777066812482274,+,49
best_yprr,77,0.1254288257210657,0.03268213181540852,0.2629288420207984,0.35415932251045673,0.3220285897575952,0.0015777066812482274,+,50
best_rec_rate,97,0.12396805732880045,0.024587821040857036,0.25078546583242145,0.35209097876656886,0.3057152290592533,0.00040516170472792236,+,51
rec_rate_x_sos,97,0.12396805732880045,0.026362071562642603,0.24401372234847382,0.35209097876656886,0.3057152290592533,0.00040516170472792236,+,52
yprr_tier3,77,0.1227631139533871,0.018919220460148815,0.2826152700707038,0.35037567545905224,0.347306946710537,0.0017846527466082167,+,53
bs_above_2_0,97,0.11520755621919825,0.023560163200832623,0.2631139057102174,0.3394223861491729,0.3663945987287726,0.0006710402558242389,+,54
career_rec_yards,97,0.10932287462198302,0.01791002904178626,0.24515144142985318,0.3306400983274458,0.3512319738058032,0.000940447989440412,+,55
yprr_above_2_5,97,0.10339647846718776,0.016736537642056012,0.25450990175737465,0.32155322804659847,0.2964813667087854,0.0013198803604847242,+,56
college_fantasy_ppg,97,0.09552815347883549,0.01687314232877094,0.2148013127908312,0.30907629070964904,0.29628108698144684,0.0020673671942735036,+,57
best_dominator,97,0.09156249191428713,0.008585357643909745,0.20952202296670136,0.302592947562046,0.27067863571575335,0.002590895144259603,+,58
best_reception_share,97,0.08960040170911605,0.014857661707683949,0.22883626740407867,0.299333261949146,0.28320220902527726,0.002896788051914787,+,59
career_receptions,97,0.08894222077394591,0.01429873265201477,0.21050631677959095,0.2982318238785826,0.32030787038833164,0.003007255133238313,+,60
best_rec_yards,97,0.0881605221028496,0.011417253438190198,0.22011286654350376,0.2969183761622874,0.27110417776328155,0.003143918913829381,+,61
vertical_jump,61,0.08454017316775574,0.0005757370612911115,0.25204716649377656,0.2907579288132238,0.2723580622217421,0.023010022508624283,+,62
weight_lbs,81,0.07850309296522724,0.0017563353907328251,0.24639252546302925,-0.2801840341012086,-0.17394423793376723,0.011295382841312701,-,63
best_slot_yprr,90,0.07788859815892282,0.005974127265858301,0.21763283978950113,0.27908528832405843,0.2603504923657395,0.007726919560803996,+,64
breakout_age,27,0.07350461763612244,0.00042388143496891584,0.3350834102656604,-0.2711173503044806,-0.3023847225784641,0.1713475333961104,-,65
best_usage_pass,92,0.06718405271421402,0.0010767601441703904,0.1950842103865402,0.25919886711599266,0.2450012547160954,0.012597398968886632,+,66
bs_above_1_8,97,0.06576863914901208,0.0019145641637287984,0.17622907805402027,0.2564539708193501,0.28223657173102884,0.011225738722512712,+,67
best_usage_rush,92,0.06575246410253568,0.01659037270284607,0.15149046321938184,0.25642243291595157,0.3005231860878643,0.01361394977091963,+,68
best_receptions,97,0.0629339900945434,0.002057515704322547,0.19867839585735791,0.2508664786186935,0.23589171816344098,0.013194011536828492,+,69
yprr_above_2_0,97,0.06259730834578549,0.0033324504561413155,0.205445840060815,0.25019454099917027,0.23639607947452818,0.013449832254906261,+,70
yprr_above_1_8,97,0.05504583235745147,0.0017483560975222994,0.17584085944957245,0.2346184825572177,0.23390810601209544,0.020714071730853163,+,71
age_at_draft,83,0.05271731901422421,0.002768583574065908,0.15830161613480617,-0.229602523971807,-0.27573476804441827,0.036794390593079596,-,72
best_receiving_grade,77,0.050323054145662814,0.00016400918074690253,0.1963696320336148,0.22432800570963674,0.20599011739460013,0.04983842065471046,+,73
best_usage,92,0.04858967605844202,0.00029234435577438754,0.16357409176415166,0.2204306604318964,0.2198059136844023,0.034735017026919196,+,74
best_ppa_overall,92,0.04321721502352272,0.003319204061381705,0.1356775524196034,0.20788750569363884,0.2430726010608917,0.0467558283440746,+,75
best_zone_yprr,58,0.04202489057462643,0.0011530722112244591,0.15410508012182617,0.20499973310867123,0.20508489041988556,0.12266321713381984,+,76
career_rec_tds,97,0.041554364235729925,0.0008835171537255171,0.1408014000425136,0.20384887597367302,0.24719443009598513,0.0452059028925751,+,77
best_ppa_pass,92,0.035533334704704905,0.0007767850868129568,0.11856636300216268,0.18850287717885078,0.2358025593739451,0.07193893852282794,+,78
best_targets,77,0.03376147007700888,0.00023187029755129406,0.18217825901280818,0.1837429456523675,0.17031421083601375,0.1096834929471232,+,79
career_total_tds,97,0.03367344219849656,0.0003516788375014895,0.13830686081677632,0.1835032484685123,0.2373170290210996,0.07199036261481168,+,80
best_contested_catch_rate,55,0.03299066483935745,0.0001529857131764225,0.1616046662579305,-0.18163332524445355,-0.12495571788704131,0.18445608608558484,-,81
best_age,97,0.030228840127142005,0.0002565226772769232,0.13819242902123463,-0.17386443031034843,-0.23696719436213154,0.08853715099024742,-,82
best_ypt,77,0.0285650269660621,7.52755803583719e-05,0.14317438207215868,0.16901191368084706,0.18336354812441935,0.1417217626516344,+,83
best_deep_yprr,90,0.023792193215947586,0.00021083464771874457,0.11902573743603741,0.15424718219775552,0.14258276565541259,0.14662259940167122,+,84
best_slot_target_rate,90,0.023611609911540873,0.00015366391447083373,0.11060308682788055,0.15366069735472657,0.11857406939483306,0.1481830560492735,+,85
best_td_rate,77,0.023202572925377116,6.2352599515604e-05,0.1658161842997757,0.1523239079244526,0.22494377089026826,0.18599952426789643,+,86
best_behind_los_rate,90,0.021432319317573292,0.00010702430244847655,0.11944524303876168,0.14639781186060566,0.2725553922696134,0.1685529381779978,+,87
best_rush_tds,97,0.02013865962317946,4.1436174257017766e-05,0.16945968056557498,0.14191074527032638,0.10915286837957576,0.16557343585476947,+,88
bench_press,61,0.018414618982496262,5.5072650575154835e-05,0.11768311566376413,-0.1357004752478644,-0.09984536380783275,0.297058798038275,-,89
early_declare,97,0.018016070044980514,3.101174759905199e-05,0.11941019888550428,0.1342239548105349,0.17338298641150368,0.18994044198953078,+,90
best_rec_td_pct,97,0.0174853069076898,4.4408883133221275e-05,0.09722801985784897,0.13223201922261416,0.14547996098678856,0.19665890079671697,+,91
best_rec_tds,97,0.017123189958711815,3.983359925060111e-05,0.1215187811549979,0.13085560728800205,0.17039894587957202,0.20140029726827985,+,92
best_screen_rate,90,0.015499052012494898,3.158334748134786e-05,0.09545512594417845,0.12449518871223457,0.22708345900413696,0.24235916706938948,+,93
career_targets,97,0.013948386299874369,0.00010016519693219654,0.11152641283342617,0.11810328657524467,0.11896197706203747,0.24926319996754293,+,94
bs_above_1_5,97,0.010860738515243008,1.9379423616441088e-05,0.09166456894745321,0.10421486705476819,0.12441834673047716,0.3096956484396761,+,95
best_ypr,97,0.010369471184019175,4.156338566866264e-05,0.07328751338164426,0.10183060043041667,0.11266019201432628,0.32095537709250044,+,96
height_inches,81,0.010006338110839109,3.143140458407533e-05,0.10759331636193026,-0.10003168553433012,-0.04618827379669912,0.37425917542166237,-,97
best_season_year,97,0.009643583318691919,3.8038696914548e-05,0.08206325099456913,-0.0982017480429545,-0.12281117655074951,0.3385912541071163,-,98
best_man_yprr,55,0.00874761710782959,2.3224897501976794e-05,0.17934832311384505,0.09352869670763936,0.2336296026707112,0.4970196114270838,+,99
yprr_above_1_5,97,0.008138397001761298,1.9944607007912932e-05,0.09424258760508111,0.09021306447384048,0.09576493888588211,0.3795253748350491,+,100
best_yards_per_touch,82,0.00797097836490754,6.67178770972801e-06,0.07454546422408787,0.08928033582434343,0.20735948361299372,0.42507305002132223,+,101
teammate_score,97,0.005134415743803444,3.059795110996175e-05,0.04806384376306187,0.07165483754641723,0.02342827834328712,0.48551063839972514,+,102
career_seasons,97,0.0051271067505249505,1.2152096618510898e-05,0.06827459237858939,-0.07160381798846309,-0.09699754279984331,0.48582217913069864,-,103
recruit_year,83,0.004727131625541856,2.000925740759236e-05,0.07320996654025913,-0.06875413897026023,-0.08064158582454804,0.5368310963412664,-,104
